,price,rooms,area,floor,floors_total,adress,subway_station,distance to subway
0,9000000,1,72.0,5,6,"1-я Утиная улица, 28",Озерки,12000
1,22080000,2,94.0,6,8,"4-я Советская улица, 9",Площадь Восстания,800
2,18960000,3,181.0,10,10,"Афанасьевская улица, 1",Озерки,5000
3,10495000,3,86.0,10,11,"Кременчугская улица, 17к3",Площадь Восстания,1000
4,5650000,1,37.0,14,17,"Богатырский проспект, 36к1",Комендантский проспект,1800
5,7650000,3,75.0,1,5,"Перевозный переулок, 9",Новочеркасская,500
6,5750000,1,43.0,17,20,"Парашютная улица, 38к4",Комендантский проспект,3000
7,18970000,4,256.0,10,10,"Афанасьевская улица, 1",Удельная,8000
8,22750000,5,420.0,10,10,"Афанасьевская улица, 1",Озерки,2600
9,7730000,3,84.0,1,4,"Пулковское тер., Неоклассика ЖК",Купчино,
10,9022000,2,65.0,13,19,"Общественный переулок, 5",Елизаровская,1000
11,17000000,3,86.0,7,11,"Пионерская улица, 50",Чкаловская,1500
12,18600000,2,77.0,7,10,"Кирочная улица, 57",Площадь Восстания,2600
13,28000000,4,167.0,5,6,"Кронверкская улица, 29/37",Петроградская,700
14,48700000,4,200.0,8,9,"Серпуховская улица, 34",Технологический институт,700
15,3090000,1,29.0,20,21,"аллея Арцеуловская, 23к1",Комендантский проспект,10000
16,6282000,1,43.0,14,19,"Общественный переулок, 5",Елизаровская,1000
17,28979000,3,128.0,4,10,"Кирочная улица, 57",Чернышевская,2300
18,10558000,3,89.0,2,19,"Общественный переулок, 5",Елизаровская,1000
19,4743000,1,56.0,3,14,"Приморское шоссе, 352",Беговая,25000
20,55000000,4,222.0,5,5,"Караванная улица, 11/64",Гостиный двор,900
21,11357840,3,87.0,6,11,"24-я Васильевского острова линия, 29",Василеостровская,2000
22,11120000,3,92.0,7,11,"Кременчугская улица, 21к3",Площадь Александра Невского,1500
23,11226000,3,94.0,2,10,"Уральская улица, 6",Василеостровская,1500
24,11521000,3,97.0,3,10,"Кременчугская улица, 13к2",Площадь Восстания,1200
25,8300000,1,51.0,2,14,"Смоленская улица, 14",Фрунзенская,600
26,9205000,2,79.0,3,10,"Уральская улица, 6",Василеостровская,1500
27,2564000,1,26.0,17,19,"Комендантский проспект, 57к1",Комендантский проспект,10000
28,3600000,1,37.0,3,10,"Октябрьская набережная, 124К5",Ломоносовская,10000
29,11750000,3,120.0,3,5,"Шпалерная улица, 8",Чернышевская,1500
30,11783000,3,99.0,3,10,"Уральская улица, 6",Василеостровская,1500
31,12285000,4,108.0,3,10,"Кременчугская улица, 17к3",Площадь Восстания,1500
32,40400000,3,186.0,4,12,"Ждановская улица, 45",Крестовский остров,1700
33,10395000,3,80.0,5,8,"аллея Поликарпова, 10К3",Пионерская,700
34,11073000,3,97.0,10,17,"Заставская улица, 46к3",Московские ворота,500
35,13143000,4,112.0,6,11,"Кременчугская улица, 17к3",Площадь Восстания,1500
36,15986000,3,92.0,6,23,"Комендантский проспект, 58к1",Комендантский проспект,10000
37,9500000,2,67.0,10,25,"улица Брянцева, 7к1",Гражданский проспект,1300
38,7450000,4,87.0,1,9,"улица Брянцева, 2К1",Гражданский проспект,1600
39,105000000,5,239.0,5,5,"Большая Конюшенная улица, 13",Невский проспект,1000
40,2720000,1,28.0,4,23,"улица Русановская, 19к2",Ломоносовская,15000
41,7450000,4,87.0,1,9,"улица Брянцева, 2К1",Гражданский проспект,1600
42,16062760,3,117.0,9,12,"Уральская улица, 6",Василеостровская,10000
43,32000000,3,150.0,8,15,"Ждановская улица, 45",Крестовский остров,1700
44,15609686,3,118.0,16,24,"Московский проспект, 183-185",Московская,500
45,4950000,1,34.0,22,26,"проспект Луначарского, 78к5А",Гражданский проспект,15000
46,5200000,2,53.0,19,27,"Заречная улица, 33",Парнас,600
47,5500000,1,35.0,23,25,"дорога Кушелевская, 5к4",Лесная,2000
48,10600000,1,35.0,3,5,"улица Радищева, 34",Чернышевская,500
49,11008143,2,76.0,6,11,"Уральская улица, 4к2",Василеостровская,1300
50,12196859,3,112.0,2,18,"Московский проспект, 115",Московские ворота,500
51,12690000,4,108.0,7,10,"Кременчугская улица, 19к2",Лиговский проспект,1400
52,14316362,2,99.0,10,11,"Уральская улица, 4к2",Василеостровская,1300
53,15474270,2,86.0,5,9,"Исполкомская улица, 17",Площадь Александра Невского,1000
54,15599000,2,79.0,7,10,"Кирочная улица, 70",Площадь Александра Невского,2700
55,17572000,2,67.0,4,9,"Петровский проспект, 24к3",Крестовский остров,1600
56,18330000,3,105.0,6,10,"Кирочная улица, 70",Площадь Александра Невского,2700
57,28025120,3,142.0,4,7,"Смольный проспект, 3",Чернышевская,5000
58,3339220,1,21.0,6,14,"Большой Сампсониевский проспект, 68Ж",Выборгская,2000
59,3318820,1,39.0,1,15,"Пулковское шоссе, 30",Московская,8000
60,3299000,1,27.0,3,12,"проспект Маршала Блюхера, 7к3",Лесная,2000
61,3298110,1,39.0,1,15,"Пулковское шоссе, 30",Московская,8000
62,3289440,1,27.0,1,4,"Захаржевская улица, 14",Московская,25000
63,3294900,1,37.0,14,19,"Комендантский проспект, 59к1",Комендантский проспект,10000
64,40554000,3,141.0,9,11,"улица Грота, 1-3В",Петроградская,1500
