,price,rooms,area,floor,floors_total,adress,subway_station,distance to subway,longitude,latitude
72,3650000,2,60.0,4,16," Самара, Промышленный район, Кирова проспект, 415а ",Юнгородок,7700.0,50.218654,53.258319
73,2200000,1,42.0,7,10," поселок Мехзавод, Самара, 1-й квартал, 39 ",Юнгородок,10600.0,50.286369,53.308235
74,1180000,1,21.0,4,9," жилой район Южный Город— 2, Волжский район, Самарская область, улица Кирилла иМефодия, 1, подъезд 5 ",Гагаринская,11700.0,50.1633,53.095371
75,6599000,3,92.0,3,23," Самара, Печерская улица, 29 ",Гагаринская,600.0,50.183961,53.203419
76,6850000,3,115.0,5,10," улНово-Вокзальная, 164 ",Безымянка,4700.0,50.204353,53.245415
77,2450000,1,39.4,23,27, стр.6 ,Безымянка,4700.0,50.101783,53.195538
78,5300000,3,101.0,4,10," Московское (23 км) шоссе, п. Мехзавод, 1 квартал, д.35. ",Юнгородок,10800.0,50.286827,53.309537
79,15000000,5,173.6,5,6," Самара, Садовая улица, 227 ",Алабинская,1800.0,50.112922,53.198602
80,1650000,1,35.0,8,9," Самара, Щигровский переулок, 12 ",Юнгородок,600.0,50.284276,53.207329
81,2455000,1,57.0,18,18," Россия, Самарская область, Самара, Аэродромная ул, 98а ",Спортивная,900.0,50.206275,53.194438
82,3250000,1,43.0,11,26," Самара, улица Георгия Димитрова, 108 ",Безымянка,5500.0,50.223757,53.260328
83,3300000,3,72.0,4,5," улСвободы, 145 ",Кировская,1600.0,50.267495,53.225463
84,2230000,1,42.9,9,26," Московское ш., стр.1 ",Московская,400.0,50.143357,53.202718
85,2550000,2,50.0,3,3," Самара, Красноглинский район, улица Евгения Золотухина, д.40 ",Московская,400.0,50.313031,53.318936
86,3500000,3,69.0,5,5," Самара, Ново-Садовая улица, 333 ",Безымянка,4900.0,50.207865,53.24958
87,2899000,1,34.0,11,24," Самара, Ново-Садовая улица, 201 ",Российская,1700.0,50.168429,53.221651
88,1590000,1,34.0,3,3," микрорайон Крутые Ключи, Красноглинский район, Самара, бульвар Ивана Финютина, 55, подъезд 2 ",Юнгородок,12600.0,50.315636,53.32397
89,3000000,2,53.0,1,6," Самарская область, Самара, Октябрьский район, Ерошевского улица, 17 ",Российская,800.0,50.160488,53.214674
90,1850000,1,33.0,5,5, ул.Победа дом.147 ,Алабинская,2600.0,50.278374,53.225759
91,3080000,1,44.0,10,24," Самара, Московское шоссе, 29 ",Спортивная,2000.0,50.191471,53.218282
92,3850000,1,57.5,11,22," Самара, улица Мичурина, 150 ",Российская,1500.0,50.169597,53.217888
93,2781250,2,62.5,6,9," ш.Северное, ЖК «Видный» ",Безымянка,11100.0,50.326102,53.301773
94,3895000,3,70.0,5,12," Самара, проспект Кирова, 346 ",Безымянка,5700.0,50.21021,53.258593
95,3500000,2,47.0,2,9, улМориса Тореза103 ,Спортивная,500.0,50.201469,53.196957
96,3350000,2,54.5,7,10," Самарская область, Самара, Промышленный район, Ново-Вокзальный тупик, 13 ",Безымянка,700.0,50.24431,53.21833
97,4100000,2,63.0,7,13," Самарская область, Самара, Октябрьский район, Мичурина улица, 149 ",Российская,400.0,50.170747,53.217419
98,3100000,1,54.5,10,24," Самара, Калужская улица ",Российская,1400.0,50.170001,53.215909
99,1490000,1,30.0,1,9," жилой район Южный Город— 2, Волжский район, Самарская область, Губернаторская улица, 9 ",Гагаринская,12100.0,50.160677,53.091704
100,2600000,1,42.0,12,24," Московское ш./пер. Тупой/пр. К. Маркса, 1 очередь, Секции 5−8 ",Спортивная,2000.0,50.193573,53.218034
101,3050000,3,59.0,3,5," Самара, улица Аэропорт 2, 11А ",Юнгородок,7700.0,50.379138,53.252263
102,3650000,2,60.0,4,16," Самара, Промышленный район, Кирова проспект, 415а ",Юнгородок,7700.0,50.218654,53.258319
103,2200000,1,42.0,7,10," поселок Мехзавод, Самара, 1-й квартал, 39 ",Юнгородок,10600.0,50.286369,53.308235
104,1180000,1,21.0,4,9," жилой район Южный Город— 2, Волжский район, Самарская область, улица Кирилла иМефодия, 1, подъезд 5 ",Гагаринская,11700.0,50.1633,53.095371
105,6599000,3,92.0,3,23," Самара, Печерская улица, 29 ",Гагаринская,600.0,50.183961,53.203419
106,6850000,3,115.0,5,10," улНово-Вокзальная, 164 ",Безымянка,4700.0,50.204353,53.245415
107,2450000,1,39.4,23,27, стр.6 ,Безымянка,4700.0,50.101783,53.195538
108,5300000,3,101.0,4,10," Московское (23 км) шоссе, п. Мехзавод, 1 квартал, д.35. ",Юнгородок,10800.0,50.286827,53.309537
109,15000000,5,173.6,5,6," Самара, Садовая улица, 227 ",Алабинская,1800.0,50.112922,53.198602
110,1650000,1,35.0,8,9," Самара, Щигровский переулок, 12 ",Юнгородок,600.0,50.284276,53.207329
111,2455000,1,57.0,18,18," Россия, Самарская область, Самара, Аэродромная ул, 98а ",Спортивная,900.0,50.206275,53.194438
112,3250000,1,43.0,11,26," Самара, улица Георгия Димитрова, 108 ",Безымянка,5500.0,50.223757,53.260328
113,3300000,3,72.0,4,5," улСвободы, 145 ",Кировская,1600.0,50.267495,53.225463
114,2230000,1,42.9,9,26," Московское ш., стр.1 ",Московская,400.0,50.143357,53.202718
115,2550000,2,50.0,3,3," Самара, Красноглинский район, улица Евгения Золотухина, д.40 ",Московская,400.0,50.313031,53.318936
116,3500000,3,69.0,5,5," Самара, Ново-Садовая улица, 333 ",Безымянка,4900.0,50.207865,53.24958
117,2899000,1,34.0,11,24," Самара, Ново-Садовая улица, 201 ",Российская,1700.0,50.168429,53.221651
118,1590000,1,34.0,3,3," микрорайон Крутые Ключи, Красноглинский район, Самара, бульвар Ивана Финютина, 55, подъезд 2 ",Юнгородок,12600.0,50.315636,53.32397
119,3000000,2,53.0,1,6," Самарская область, Самара, Октябрьский район, Ерошевского улица, 17 ",Российская,800.0,50.160488,53.214674
120,1850000,1,33.0,5,5, ул.Победа дом.147 ,Алабинская,2600.0,50.278374,53.225759
121,3080000,1,44.0,10,24," Самара, Московское шоссе, 29 ",Спортивная,2000.0,50.191471,53.218282
122,3850000,1,57.5,11,22," Самара, улица Мичурина, 150 ",Российская,1500.0,50.169597,53.217888
