,price,rooms,area,floor,floors_total,adress,subway_station,distance to subway
0,4700000,1,52.0,17,18,"Аэродромная улица, 98А",Спортивная,1300
1,3200000,2,45.0,5,5,"м. Кировская, улица Свободы",Кировская,2400
2,1550000,2,42.0,1,3,"Центральная улица, 2",,
3,2600000,2,44.0,5,5,"улица Гагарина, 135",Советская,500
4,3500000,1,50.0,14,16,"улица Тухачевского, 80",Московская,1600
5,7430400,2,103.0,3,11,"Самарская улица, 267",Алабинская,5000
6,1050000,1,25.0,1,2,"улица Земеца, 9",,
7,1150000,2,42.0,3,4,"Арбатская улица, 3",,
8,1200000,1,39.0,2,2,"Ленинградская улица, 5",,
9,2200000,3,55.0,2,5,"пос. Соцгород, переулок Ново-Молодежный",,
10,3400000,3,73.0,1,9,"Ново-Садовая улица, 206",,
11,14500000,1,130.0,9,9,"улица Алексея Толстого, 92",,
12,1550000,2,42.0,1,3,"Центральная улица, 2",,
13,2600000,2,44.0,5,5,"улица Гагарина, 135",Советская,500
14,3500000,1,50.0,14,16,"улица Тухачевского, 80",Московская,1600
15,7430400,2,103.0,3,11,"Самарская улица, 267",Алабинская,5000
16,1050000,1,25.0,1,2,"улица Земеца, 9",,
17,1150000,2,42.0,3,4,"Арбатская улица, 3",,
18,1200000,1,39.0,2,2,"Ленинградская улица, 5",,
19,2200000,3,55.0,2,5,"пос. Соцгород, переулок Ново-Молодежный",,
20,3400000,3,73.0,1,9,"Ново-Садовая улица, 206",,
21,790000,2,42.0,2,2,"улица Силаева, 11",,
22,1550000,2,42.0,1,3,"Центральная улица, 2",,
23,2600000,2,44.0,5,5,"улица Гагарина, 135",Советская,500
24,3500000,1,50.0,14,16,"улица Тухачевского, 80",Московская,1600
25,7430400,2,103.0,3,11,"Самарская улица, 267",Алабинская,5000
26,1050000,1,25.0,1,2,"улица Земеца, 9",,
27,1150000,2,42.0,3,4,"Арбатская улица, 3",,
28,1200000,1,39.0,2,2,"Ленинградская улица, 5",,
29,2200000,3,55.0,2,5,"пос. Соцгород, переулок Ново-Молодежный",,
30,3400000,3,73.0,1,9,"Ново-Садовая улица, 206",,
31,4700000,1,52.0,17,18,"Аэродромная улица, 98А",Спортивная,1300
32,1550000,2,42.0,1,3,"Центральная улица, 2",,
33,2600000,2,44.0,5,5,"улица Гагарина, 135",Советская,500
34,3500000,1,50.0,14,16,"улица Тухачевского, 80",Московская,1600
35,7430400,2,103.0,3,11,"Самарская улица, 267",Алабинская,5000
36,1050000,1,25.0,1,2,"улица Земеца, 9",,
37,1150000,2,42.0,3,4,"Арбатская улица, 3",,
38,1200000,1,39.0,2,2,"Ленинградская улица, 5",,
39,2200000,3,55.0,2,5,"пос. Соцгород, переулок Ново-Молодежный",,
40,3400000,3,73.0,1,9,"Ново-Садовая улица, 206",,
41,14500000,1,130.0,9,9,"улица Алексея Толстого, 92",,
42,1550000,2,42.0,1,3,"Центральная улица, 2",,
43,2600000,2,44.0,5,5,"улица Гагарина, 135",Советская,500
44,3500000,1,50.0,14,16,"улица Тухачевского, 80",Московская,1600
45,7430400,2,103.0,3,11,"Самарская улица, 267",Алабинская,5000
46,1050000,1,25.0,1,2,"улица Земеца, 9",,
47,1150000,2,42.0,3,4,"Арбатская улица, 3",,
48,1200000,1,39.0,2,2,"Ленинградская улица, 5",,
49,2200000,3,55.0,2,5,"пос. Соцгород, переулок Ново-Молодежный",,
50,3400000,3,73.0,1,9,"Ново-Садовая улица, 206",,
51,790000,2,42.0,2,2,"улица Силаева, 11",,
52,1400000,1,30.0,3,3,"Крутые Ключи мкр, улица Евгения Золотухина",,
53,1960000,1,35.0,2,24,"м. Безымянка, Московское шоссе",Безымянка,25000
54,2220000,1,44.0,3,24,"м. Безымянка, Московское шоссе",Безымянка,25000
55,2750000,2,47.0,6,9,"проспект Кирова, 98",,
56,3200000,2,45.0,5,5,"м. Кировская, улица Свободы",Кировская,2400
57,3360000,1,40.0,11,16,"улица Братьев Коростелевых, 66",,
58,3500000,2,50.0,9,9,"улица Максима Горького, 35",,
59,3560000,2,65.0,2,24,"м. Безымянка, Московское шоссе",Безымянка,25000
60,1550000,2,42.0,1,3,"Центральная улица, 2",,
61,2600000,2,44.0,5,5,"улица Гагарина, 135",Советская,500
62,3500000,1,50.0,14,16,"улица Тухачевского, 80",Московская,1600
63,7430400,2,103.0,3,11,"Самарская улица, 267",Алабинская,5000
64,1050000,1,25.0,1,2,"улица Земеца, 9",,
65,1150000,2,42.0,3,4,"Арбатская улица, 3",,
66,1200000,1,39.0,2,2,"Ленинградская улица, 5",,
67,2200000,3,55.0,2,5,"пос. Соцгород, переулок Ново-Молодежный",,
68,3400000,3,73.0,1,9,"Ново-Садовая улица, 206",,
69,1550000,2,42.0,1,3,"Центральная улица, 2",,
70,2600000,2,44.0,5,5,"улица Гагарина, 135",Советская,500
71,3500000,1,50.0,14,16,"улица Тухачевского, 80",Московская,1600
72,7430400,2,103.0,3,11,"Самарская улица, 267",Алабинская,5000
73,1050000,1,25.0,1,2,"улица Земеца, 9",,
74,1150000,2,42.0,3,4,"Арбатская улица, 3",,
75,1200000,1,39.0,2,2,"Ленинградская улица, 5",,
76,2200000,3,55.0,2,5,"пос. Соцгород, переулок Ново-Молодежный",,
77,3400000,3,73.0,1,9,"Ново-Садовая улица, 206",,
78,2750000,2,47.0,6,9,"проспект Кирова, 98",,
79,1550000,2,42.0,1,3,"Центральная улица, 2",,
80,2600000,2,44.0,5,5,"улица Гагарина, 135",Советская,500
81,3500000,1,50.0,14,16,"улица Тухачевского, 80",Московская,1600
82,7430400,2,103.0,3,11,"Самарская улица, 267",Алабинская,5000
83,1050000,1,25.0,1,2,"улица Земеца, 9",,
84,1150000,2,42.0,3,4,"Арбатская улица, 3",,
85,1200000,1,39.0,2,2,"Ленинградская улица, 5",,
86,2200000,3,55.0,2,5,"пос. Соцгород, переулок Ново-Молодежный",,
87,3400000,3,73.0,1,9,"Ново-Садовая улица, 206",,
88,2220000,1,44.0,3,24,"м. Безымянка, Московское шоссе",Безымянка,25000
89,1550000,2,42.0,1,3,"Центральная улица, 2",,
90,2600000,2,44.0,5,5,"улица Гагарина, 135",Советская,500
91,3500000,1,50.0,14,16,"улица Тухачевского, 80",Московская,1600
92,7430400,2,103.0,3,11,"Самарская улица, 267",Алабинская,5000
93,1050000,1,25.0,1,2,"улица Земеца, 9",,
94,1150000,2,42.0,3,4,"Арбатская улица, 3",,
95,1200000,1,39.0,2,2,"Ленинградская улица, 5",,
96,2200000,3,55.0,2,5,"пос. Соцгород, переулок Ново-Молодежный",,
97,3400000,3,73.0,1,9,"Ново-Садовая улица, 206",,
98,3360000,1,40.0,11,16,"улица Братьев Коростелевых, 66",,
99,1550000,2,42.0,1,3,"Центральная улица, 2",,
100,2600000,2,44.0,5,5,"улица Гагарина, 135",Советская,500
101,3500000,1,50.0,14,16,"улица Тухачевского, 80",Московская,1600
102,7430400,2,103.0,3,11,"Самарская улица, 267",Алабинская,5000
103,1050000,1,25.0,1,2,"улица Земеца, 9",,
104,1150000,2,42.0,3,4,"Арбатская улица, 3",,
105,1200000,1,39.0,2,2,"Ленинградская улица, 5",,
