url,adress,coordinates,salary
https://spb.hh.ru/vacancy/30707536,"Пролетарская, Санкт-Петербург, проспект Обуховской Обороны, 112к2И","59.866635, 30.472022",4
https://spb.hh.ru/vacancy/30539353,"Московская, Санкт-Петербург, 2 линия, метро Московская","59.852018, 30.322399",8
https://spb.hh.ru/vacancy/30388832,"Санкт-Петербург, Гостиный двор, ","59.934064, 30.332756",9
https://spb.hh.ru/vacancy/30673196,"Санкт-Петербург, Проспект Ветеранов, ","59.832995, 30.191407",9
https://spb.hh.ru/vacancy/30722524,"Звёздная, Санкт-Петербург, Пулковское шоссе, 25к1","59.819802, 30.317252",10
https://spb.hh.ru/vacancy/30407527,"Лесная, Санкт-Петербург, Кантемировская улица, 37","59.985638, 30.353579",11
https://spb.hh.ru/vacancy/30508993,"Спортивная, Санкт-Петербург, 3-я линия Васильевского острова, 62","59.948816, 30.278094",11
https://spb.hh.ru/vacancy/30586230,"Василеостровская, Санкт-Петербург, 8-я линия В.О., 11-13","59.937301, 30.282406",12
https://spb.hh.ru/vacancy/30537883,"Международная, Санкт-Петербург, Будапештская улица, 11","59.869065, 30.368563",12
https://spb.hh.ru/vacancy/30584960,"Московские ворота, Санкт-Петербург, Московский проспект, 109","59.889882, 30.318734",12
https://spb.hh.ru/vacancy/30766667,"Санкт-Петербург, Автово, ","59.867873, 30.265886",12
https://spb.hh.ru/vacancy/29262183,"Санкт-Петербург, Василеостровская, ","59.942525, 30.278247",12
https://spb.hh.ru/vacancy/30693717,"Санкт-Петербург, Гостиный двор, ","59.934064, 30.332756",12
https://spb.hh.ru/vacancy/30714027,"Чернышевская, Санкт-Петербург, улица Короленко, 7","59.941258, 30.350687",12
https://spb.hh.ru/vacancy/30692952,"Чернышевская, Санкт-Петербург, улица Смольного, 3","59.950578, 30.396941",12
https://spb.hh.ru/vacancy/30383094,"Академическая, Санкт-Петербург, Светлановский проспект, 40к3","60.024999, 30.375417",13
https://spb.hh.ru/vacancy/30740502,"Ладожская, Санкт-Петербург, Индустриальный проспект, 31","59.950956, 30.473693",13
https://spb.hh.ru/vacancy/30649376,"Ладожская, Санкт-Петербург, Латышских Стрелков, 31, корп.3","59.933514, 30.450741",13
https://spb.hh.ru/vacancy/30628579,"Приморская, Санкт-Петербург, 6-линия В.О. , 57","59.943715, 30.276612",13
https://spb.hh.ru/vacancy/29706913,"Санкт-Петербург, Гостиный двор, ","59.934064, 30.332756",13
https://spb.hh.ru/vacancy/28413558,"Санкт-Петербург, Гостиный двор, ","59.934064, 30.332756",13
https://spb.hh.ru/vacancy/29869213,"Санкт-Петербург, Международная, ","59.870203, 30.379289",13
https://spb.hh.ru/vacancy/30629220,"Международная, Санкт-Петербург, Софийская улица, 38к2","59.873189, 30.411054",14
https://spb.hh.ru/vacancy/30585629,"Озерки, Санкт-Петербург, проспект Луначарского, 45","60.036524, 30.358942",14
https://spb.hh.ru/vacancy/30507275,"Санкт-Петербург, Бухарестская, ","59.862122, 30.389503",14
https://spb.hh.ru/vacancy/29460941,"Санкт-Петербург, Гостиный двор, ","59.934064, 30.332756",14
https://spb.hh.ru/vacancy/28413596,"Санкт-Петербург, Гостиный двор, ","59.934064, 30.332756",14
https://spb.hh.ru/vacancy/28413413,"Санкт-Петербург, Гостиный двор, ","59.934064, 30.332756",14
https://spb.hh.ru/vacancy/28389994,"Санкт-Петербург, Гостиный двор, ","59.934064, 30.332756",14
https://spb.hh.ru/vacancy/30751056,"Санкт-Петербург, Купчино, ","59.852393, 30.392872",14
https://spb.hh.ru/vacancy/30346152,"Санкт-Петербург, Международная, ","59.870203, 30.379289",14
https://spb.hh.ru/vacancy/30606174,"Василеостровская, Санкт-Петербург, Малый проспект Васильевского острова, 33","59.945414, 30.268203",15
https://spb.hh.ru/vacancy/30616787,"Выборгская, Санкт-Петербург, Чугунная, 14/Р","59.974185, 30.36046",15
https://spb.hh.ru/vacancy/30207048,"Гражданский проспект, Санкт-Петербург, улица Брянцева, 13к1","60.039768, 30.407505",15
https://spb.hh.ru/vacancy/30517731,"Гражданский проспект, Санкт-Петербург, улица Брянцева, 7к1","60.035131, 30.404729",15
https://spb.hh.ru/vacancy/30442342,"Комендантский проспект, Санкт-Петербург, Шуваловский проспект, 37к1","60.032456, 30.246482",15
https://spb.hh.ru/vacancy/30570593,"Московская, Санкт-Петербург, Московский проспект, 183-185","59.855331, 30.319839",15
https://spb.hh.ru/vacancy/30455931,"Озерки, Санкт-Петербург, Северный проспект, 4к1","60.031023, 30.324097",15
https://spb.hh.ru/vacancy/30739436,"Площадь Ленина, Санкт-Петербург, улица Комсомола, 14к2","59.953921, 30.358062",15
https://spb.hh.ru/vacancy/30503683,"Проспект Ветеранов, Санкт-Петербург, 1 линия, метро Проспект Ветеранов","59.84211, 30.250588",15
https://spb.hh.ru/vacancy/30410687,"Проспект Ветеранов, Санкт-Петербург, Дачный проспект, 20","59.842662, 30.256184",15
https://spb.hh.ru/vacancy/28413648,"Санкт-Петербург, Гостиный двор, ","59.934064, 30.332756",15
https://spb.hh.ru/vacancy/30642822,"Санкт-Петербург, Площадь Восстания, ","59.931017, 30.36144",15
https://spb.hh.ru/vacancy/30443177,"Санкт-Петербург, Чёрная речка, ","59.990237, 30.296878",15
https://spb.hh.ru/vacancy/30504728,"Комендантский проспект, Санкт-Петербург, проспект Испытателей, 35","60.008428, 30.262607",16
https://spb.hh.ru/vacancy/30580279,"Ладожская, Санкт-Петербург, проспект Косыгина, 21к1","59.944431, 30.48335",16
https://spb.hh.ru/vacancy/28377733,"Ленинский проспект, Санкт-Петербург, бульвар Новаторов, 11к2","59.849908, 30.268293",16
https://spb.hh.ru/vacancy/30682933,"Нарвская, Санкт-Петербург, Промышленная, 19","59.896883, 30.260155",16
https://spb.hh.ru/vacancy/30323888,"Озерки, Санкт-Петербург, Выборгское шоссе, 40","60.04193, 30.315518",16
https://spb.hh.ru/vacancy/30335459,"Парнас, Санкт-Петербург, 8-й Верхний переулок, 4А","60.079882, 30.367144",16
https://spb.hh.ru/vacancy/30410210,"Петроградская, Санкт-Петербург, Набережная реки Карповки, 5","59.968137, 30.316263",16
https://spb.hh.ru/vacancy/29780604,"Площадь Ленина, Санкт-Петербург, Финляндский проспект, 4А","59.957782, 30.342189",16
https://spb.hh.ru/vacancy/30696246,"Проспект Большевиков, Санкт-Петербург, улица Джона Рида, 2к2","59.920745, 30.447148",16
https://spb.hh.ru/vacancy/28413552,"Санкт-Петербург, Гостиный двор, ","59.934064, 30.332756",16
https://spb.hh.ru/vacancy/28413527,"Санкт-Петербург, Гостиный двор, ","59.934064, 30.332756",16
https://spb.hh.ru/vacancy/30576063,"Санкт-Петербург, Девяткино, деревня Новое Девяткино","60.058026, 30.469579",16
https://spb.hh.ru/vacancy/29140493,"Санкт-Петербург, Площадь Александра Невского 1, ","59.924285, 30.385227",16
https://spb.hh.ru/vacancy/30723310,"Санкт-Петербург, Площадь Александра Невского 1, ","59.924285, 30.385227",16
https://spb.hh.ru/vacancy/30727663,"Санкт-Петербург, Площадь Александра Невского 1, ","59.924285, 30.385227",16
https://spb.hh.ru/vacancy/30312650,"Санкт-Петербург, Площадь Александра Невского 1, ","59.924285, 30.385227",16
