url,adress,salary
https://spb.hh.ru/vacancy/30707536,"Пролетарская, Санкт-Петербург, проспект Обуховской Обороны, 112к2И",4
https://spb.hh.ru/vacancy/30539353,"Московская, Санкт-Петербург, 2 линия, метро Московская",8
https://spb.hh.ru/vacancy/30388832,"Санкт-Петербург, Гостиный двор, ",9
https://spb.hh.ru/vacancy/30673196,"Санкт-Петербург, Проспект Ветеранов, ",9
https://spb.hh.ru/vacancy/30722524,"Звёздная, Санкт-Петербург, Пулковское шоссе, 25к1",10
https://spb.hh.ru/vacancy/30407527,"Лесная, Санкт-Петербург, Кантемировская улица, 37",11
https://spb.hh.ru/vacancy/30508993,"Спортивная, Санкт-Петербург, 3-я линия Васильевского острова, 62",11
https://spb.hh.ru/vacancy/30586230,"Василеостровская, Санкт-Петербург, 8-я линия В.О., 11-13",12
https://spb.hh.ru/vacancy/30537883,"Международная, Санкт-Петербург, Будапештская улица, 11",12
https://spb.hh.ru/vacancy/30584960,"Московские ворота, Санкт-Петербург, Московский проспект, 109",12
https://spb.hh.ru/vacancy/30766667,"Санкт-Петербург, Автово, ",12
https://spb.hh.ru/vacancy/29262183,"Санкт-Петербург, Василеостровская, ",12
https://spb.hh.ru/vacancy/30693717,"Санкт-Петербург, Гостиный двор, ",12
https://spb.hh.ru/vacancy/30714027,"Чернышевская, Санкт-Петербург, улица Короленко, 7",12
https://spb.hh.ru/vacancy/30692952,"Чернышевская, Санкт-Петербург, улица Смольного, 3",12
https://spb.hh.ru/vacancy/30383094,"Академическая, Санкт-Петербург, Светлановский проспект, 40к3",13
https://spb.hh.ru/vacancy/30740502,"Ладожская, Санкт-Петербург, Индустриальный проспект, 31",13
https://spb.hh.ru/vacancy/30649376,"Ладожская, Санкт-Петербург, Латышских Стрелков, 31, корп.3",13
https://spb.hh.ru/vacancy/30628579,"Приморская, Санкт-Петербург, 6-линия В.О. , 57",13
https://spb.hh.ru/vacancy/29706913,"Санкт-Петербург, Гостиный двор, ",13
https://spb.hh.ru/vacancy/28413558,"Санкт-Петербург, Гостиный двор, ",13
https://spb.hh.ru/vacancy/29869213,"Санкт-Петербург, Международная, ",13
https://spb.hh.ru/vacancy/30629220,"Международная, Санкт-Петербург, Софийская улица, 38к2",14
https://spb.hh.ru/vacancy/30585629,"Озерки, Санкт-Петербург, проспект Луначарского, 45",14
https://spb.hh.ru/vacancy/30507275,"Санкт-Петербург, Бухарестская, ",14
https://spb.hh.ru/vacancy/29460941,"Санкт-Петербург, Гостиный двор, ",14
https://spb.hh.ru/vacancy/28413596,"Санкт-Петербург, Гостиный двор, ",14
https://spb.hh.ru/vacancy/28413413,"Санкт-Петербург, Гостиный двор, ",14
https://spb.hh.ru/vacancy/28389994,"Санкт-Петербург, Гостиный двор, ",14
https://spb.hh.ru/vacancy/30751056,"Санкт-Петербург, Купчино, ",14
https://spb.hh.ru/vacancy/30346152,"Санкт-Петербург, Международная, ",14
https://spb.hh.ru/vacancy/30606174,"Василеостровская, Санкт-Петербург, Малый проспект Васильевского острова, 33",15
https://spb.hh.ru/vacancy/30616787,"Выборгская, Санкт-Петербург, Чугунная, 14/Р",15
https://spb.hh.ru/vacancy/30207048,"Гражданский проспект, Санкт-Петербург, улица Брянцева, 13к1",15
https://spb.hh.ru/vacancy/30517731,"Гражданский проспект, Санкт-Петербург, улица Брянцева, 7к1",15
https://spb.hh.ru/vacancy/30442342,"Комендантский проспект, Санкт-Петербург, Шуваловский проспект, 37к1",15
https://spb.hh.ru/vacancy/30570593,"Московская, Санкт-Петербург, Московский проспект, 183-185",15
https://spb.hh.ru/vacancy/30455931,"Озерки, Санкт-Петербург, Северный проспект, 4к1",15
https://spb.hh.ru/vacancy/30739436,"Площадь Ленина, Санкт-Петербург, улица Комсомола, 14к2",15
https://spb.hh.ru/vacancy/30503683,"Проспект Ветеранов, Санкт-Петербург, 1 линия, метро Проспект Ветеранов",15
https://spb.hh.ru/vacancy/30410687,"Проспект Ветеранов, Санкт-Петербург, Дачный проспект, 20",15
https://spb.hh.ru/vacancy/28413648,"Санкт-Петербург, Гостиный двор, ",15
https://spb.hh.ru/vacancy/30642822,"Санкт-Петербург, Площадь Восстания, ",15
https://spb.hh.ru/vacancy/30443177,"Санкт-Петербург, Чёрная речка, ",15
https://spb.hh.ru/vacancy/30504728,"Комендантский проспект, Санкт-Петербург, проспект Испытателей, 35",16
https://spb.hh.ru/vacancy/30580279,"Ладожская, Санкт-Петербург, проспект Косыгина, 21к1",16
https://spb.hh.ru/vacancy/28377733,"Ленинский проспект, Санкт-Петербург, бульвар Новаторов, 11к2",16
https://spb.hh.ru/vacancy/30682933,"Нарвская, Санкт-Петербург, Промышленная, 19",16
https://spb.hh.ru/vacancy/30323888,"Озерки, Санкт-Петербург, Выборгское шоссе, 40",16
https://spb.hh.ru/vacancy/30335459,"Парнас, Санкт-Петербург, 8-й Верхний переулок, 4А",16
https://spb.hh.ru/vacancy/30410210,"Петроградская, Санкт-Петербург, Набережная реки Карповки, 5",16
https://spb.hh.ru/vacancy/29780604,"Площадь Ленина, Санкт-Петербург, Финляндский проспект, 4А",16
https://spb.hh.ru/vacancy/30696246,"Проспект Большевиков, Санкт-Петербург, улица Джона Рида, 2к2",16
https://spb.hh.ru/vacancy/28413552,"Санкт-Петербург, Гостиный двор, ",16
https://spb.hh.ru/vacancy/28413527,"Санкт-Петербург, Гостиный двор, ",16
https://spb.hh.ru/vacancy/30576063,"Санкт-Петербург, Девяткино, деревня Новое Девяткино",16
https://spb.hh.ru/vacancy/29140493,"Санкт-Петербург, Площадь Александра Невского 1, ",16
https://spb.hh.ru/vacancy/30723310,"Санкт-Петербург, Площадь Александра Невского 1, ",16
https://spb.hh.ru/vacancy/30727663,"Санкт-Петербург, Площадь Александра Невского 1, ",16
https://spb.hh.ru/vacancy/30312650,"Санкт-Петербург, Площадь Александра Невского 1, ",16
https://spb.hh.ru/vacancy/30727858,"Санкт-Петербург, Площадь Александра Невского 1, ",16
https://spb.hh.ru/vacancy/30348178,"Санкт-Петербург, Чернышевская, ",16
https://spb.hh.ru/vacancy/30648315,"Спортивная, Санкт-Петербург, Биржевой переулок, 4а",16
https://spb.hh.ru/vacancy/30402970,"Балтийская, Санкт-Петербург, Рижский проспект, 41",17
https://spb.hh.ru/vacancy/30724366,"Василеостровская, Санкт-Петербург, 10-я линия Васильевского острова, 59",17
https://spb.hh.ru/vacancy/29871087,"Комендантский проспект, Санкт-Петербург, Долгоозёрная улица, 14к2",17
https://spb.hh.ru/vacancy/27969697,"Комендантский проспект, Санкт-Петербург, Туристская улица, 36к1",17
https://spb.hh.ru/vacancy/30563525,"Ленинский проспект, Санкт-Петербург, Трамвайный проспект, 32",17
https://spb.hh.ru/vacancy/30464640,"Международная, Санкт-Петербург, проспект Славы, 43",17
https://spb.hh.ru/vacancy/30692049,"Нарвская, Санкт-Петербург, 1 линия, метро Нарвская",17
https://spb.hh.ru/vacancy/28670884,"Обухово, Санкт-Петербург, проспект Обуховской Обороны, 295БД",17
https://spb.hh.ru/vacancy/30297895,"Пролетарская, Санкт-Петербург, улица Бабушкина, 123",17
https://spb.hh.ru/vacancy/30352345,"Санкт-Петербург, Звёздная, ",17
https://spb.hh.ru/vacancy/29783949,"Санкт-Петербург, Кировский завод, ",17
https://spb.hh.ru/vacancy/27002869,"Санкт-Петербург, Площадь Александра Невского 1, ",17
https://spb.hh.ru/vacancy/30156243,"Адмиралтейская, Санкт-Петербург, Большая Морская, 39",18
https://spb.hh.ru/vacancy/30202620,"Василеостровская, Санкт-Петербург, Косая линия, 15в",18
https://spb.hh.ru/vacancy/30763834,"Кировский завод, Санкт-Петербург, Стачек, 47",18
https://spb.hh.ru/vacancy/30750503,"Международная, Санкт-Петербург, Софийская улица, 38к2",18
https://spb.hh.ru/vacancy/30519280,"Международная, Санкт-Петербург, Софийская улица, 38к2",18
https://spb.hh.ru/vacancy/30480906,"Нарвская, Санкт-Петербург, 1 линия, метро Нарвская",18
https://spb.hh.ru/vacancy/30416280,"Новочеркасская, Санкт-Петербург, 4 линия, метро Новочеркасская",18
https://spb.hh.ru/vacancy/30446333,"Новочеркасская, Санкт-Петербург, Дальневосточный проспект, 1к3",18
https://spb.hh.ru/vacancy/30697031,"Озерки, Санкт-Петербург, проспект Луначарского, 45",18
https://spb.hh.ru/vacancy/30687891,"Парк Победы, Санкт-Петербург, улица Ленсовета, 4",18
https://spb.hh.ru/vacancy/30305038,"Парк Победы, Санкт-Петербург, улица Ленсовета, 4",18
https://spb.hh.ru/vacancy/23257232,"Парнас, Санкт-Петербург, 4-й Верхний переулок, 1А",18
https://spb.hh.ru/vacancy/30517482,"Площадь Ленина, Санкт-Петербург, Большой Сампсониевский проспект, 4-6",18
https://spb.hh.ru/vacancy/29914957,"Пролетарская, Санкт-Петербург, проспект Обуховской Обороны, 116",18
https://spb.hh.ru/vacancy/30564441,"Пролетарская, Санкт-Петербург, проспект Обуховской Обороны, 116",18
https://spb.hh.ru/vacancy/27496073,"Проспект Большевиков, Санкт-Петербург, проспект Пятилеток, 2",18
https://spb.hh.ru/vacancy/30770430,"Проспект Большевиков, Санкт-Петербург, проспект Пятилеток, 8к1",18
https://spb.hh.ru/vacancy/30407187,"Санкт-Петербург, Московская, ",18
https://spb.hh.ru/vacancy/30136774,"Санкт-Петербург, Проспект Ветеранов, ",18
https://spb.hh.ru/vacancy/30155660,"Санкт-Петербург, Проспект Просвещения, ",18
https://spb.hh.ru/vacancy/30712492,"Санкт-Петербург, Проспект Просвещения, ",18
https://spb.hh.ru/vacancy/30713256,"Удельная, Санкт-Петербург, проспект Тореза, 102к4",18
https://spb.hh.ru/vacancy/30340337,"Электросила, Санкт-Петербург, улица Решетникова, 15",18
https://spb.hh.ru/vacancy/30353940,"Балтийская, Санкт-Петербург, наб. Обводного канала, 134-136-138, литер А, корпус 71",19
https://spb.hh.ru/vacancy/29788185,"Беговая, Санкт-Петербург, улица Савушкина, 126",19
https://spb.hh.ru/vacancy/30489508,"Беговая, Санкт-Петербург, улица Савушкина, 141",19
https://spb.hh.ru/vacancy/29787932,"Василеостровская, Санкт-Петербург, Большой проспект В.О., 68",19
https://spb.hh.ru/vacancy/30457298,"Василеостровская, Санкт-Петербург, Косая линия, 16",19
https://spb.hh.ru/vacancy/29977769,"Василеостровская, Санкт-Петербург, Косая линия, 16",19
https://spb.hh.ru/vacancy/28500388,"Василеостровская, Санкт-Петербург, Средний проспект В.О., 36/40",19
https://spb.hh.ru/vacancy/28183334,"Василеостровская, Санкт-Петербург, Средний проспект Васильевского острова, 39",19
https://spb.hh.ru/vacancy/30668800,"Волковская, Санкт-Петербург, 5 линия, метро Волковская",19
https://spb.hh.ru/vacancy/30337327,"Горьковская, Санкт-Петербург",19
https://spb.hh.ru/vacancy/28500378,"Горьковская, Санкт-Петербург, Малая Монетная улица, 2Г",19
https://spb.hh.ru/vacancy/29831470,"Девяткино, Санкт-Петербург, Главная улица",19
https://spb.hh.ru/vacancy/30630628,"Звёздная, Санкт-Петербург, Звездная улица, 1",19
https://spb.hh.ru/vacancy/29659209,"Звёздная, Санкт-Петербург, Звёздная улица, 1",19
https://spb.hh.ru/vacancy/27788024,"Комендантский проспект, Санкт-Петербург, Туристская улица, 36к1",19
https://spb.hh.ru/vacancy/27300444,"Комендантский проспект, Санкт-Петербург, Туристская улица, 36к1",19
https://spb.hh.ru/vacancy/27788064,"Комендантский проспект, Санкт-Петербург, Туристская улица, 36к1",19
https://spb.hh.ru/vacancy/26508348,"Комендантский проспект, Санкт-Петербург, улица Уточкина, 4к1А",19
https://spb.hh.ru/vacancy/28500393,"Крестовский остров, Санкт-Петербург, Морская набережная, 33",19
https://spb.hh.ru/vacancy/30461606,"Ладожская, Санкт-Петербург, Латышских Стрелков, 31, корп.3",19
https://spb.hh.ru/vacancy/28944520,"Ладожская, Санкт-Петербург, проспект Энергетиков, 8к1",19
https://spb.hh.ru/vacancy/28377718,"Ленинский проспект, Санкт-Петербург, бульвар Новаторов, 11к2",19
https://spb.hh.ru/vacancy/29659304,"Лесная, Санкт-Петербург, Полюстровский проспект, 84А",19
https://spb.hh.ru/vacancy/30776047,"Маяковская, Санкт-Петербург, Маяковского, 3А",19
https://spb.hh.ru/vacancy/30714550,"Международная, Санкт-Петербург, Софийская улица, 38к2",19
https://spb.hh.ru/vacancy/30664203,"Международная, Санкт-Петербург, Софийская улица, 38к2",19
https://spb.hh.ru/vacancy/30462056,"Московская, Санкт-Петербург, 2 линия, метро Московская",19
https://spb.hh.ru/vacancy/30641762,"Нарвская, Санкт-Петербург, площадь Стачек, 7",19
https://spb.hh.ru/vacancy/30529937,"Невский проспект, Санкт-Петербург, Думская улица, 4",19
https://spb.hh.ru/vacancy/29565283,"Невский проспект, Санкт-Петербург, Думская улица, 4",19
https://spb.hh.ru/vacancy/29565690,"Невский проспект, Санкт-Петербург, Думская улица, 4",19
https://spb.hh.ru/vacancy/30370083,"Невский проспект, Санкт-Петербург, Михайловская ул., 1/7",19
https://spb.hh.ru/vacancy/30714342,"Петроградская, Санкт-Петербург, Каменноостровский проспект, 40А",19
https://spb.hh.ru/vacancy/28379845,"Приморская, Санкт-Петербург, улица Кораблестроителей",19
https://spb.hh.ru/vacancy/30458294,"Приморская, Санкт-Петербург, улица Нахимова",19
https://spb.hh.ru/vacancy/28334057,"Проспект Большевиков, Санкт-Петербург, улица Коллонтай, 10",19
https://spb.hh.ru/vacancy/27580331,"Проспект Просвещения, Санкт-Петербург, проспект Просвещения, 19",19
https://spb.hh.ru/vacancy/28407469,"Санкт-Петербург, Площадь Александра Невского 1, ",19
https://spb.hh.ru/vacancy/30199335,"Санкт-Петербург, Площадь Александра Невского 1, ",19
https://spb.hh.ru/vacancy/30385586,"Санкт-Петербург, Пролетарская, Всеволожский район, промзона Уткина Заводь, 1",19
https://spb.hh.ru/vacancy/30346908,"Санкт-Петербург, Проспект Просвещения, ",19
https://spb.hh.ru/vacancy/27302512,"Санкт-Петербург, Удельная, ",19
https://spb.hh.ru/vacancy/30542163,"Санкт-Петербург, Чёрная речка, ",19
https://spb.hh.ru/vacancy/28500376,"Чкаловская, Санкт-Петербург, Чкаловский проспект, 15/29",19
https://spb.hh.ru/vacancy/30730414,"Электросила, Санкт-Петербург, Варшавская улица, 2А",19
https://spb.hh.ru/vacancy/30350531,"Электросила, Санкт-Петербург, Московский проспект, 137",19
